name,value,bound_1,bound_2,is_log
c_p,4.502963E-13,1E-13,8E-12,1
c_m,2.473016E-11,1E-11,9E-11,1
a0_m,16529.06,10000,100000,1
b0_m,386.7,100,1000,1
delta_m,22.823,1,100,0
s_m,12.8321,1,100,0
a0_h,6.26,1,100,1
b0_h,58131.407,10000,100000,1
delta_h,10.27583,1,100,0
s_h,21.62,1,100,0
a0_j,0.6462,0.01,1,1
b0_j,11358.31,5000,100000,1
delta_j,7.445,1,100,0
s_j,69.417,1,100,0
tau_j_const,0.00132,0.0005,0.005,1
R,24946770,10000000,100000000,1
R_f,326421.4,200000,500000,1
g_max,3392.4,1000,10000,1
g_leak,0.4812443,0.01,1,1
tau_z,0.000100034,1E-05,0.001,1
v_half_m,28.35802,10,60,0
v_half_h,59.69117,50,100,0
k_m,7.66677,1,10,0
k_h,5.507771,1,10,0
x_c_comp,0.01,0.01,0.999,1
x_r_comp,0.2,0.01,0.999,1
alpha,0.75,0.76,0.77,1
v_off,-2,-15,15,0
v_rev,18,-50,50,0
v_c,-80,-100,100,0
