t,v
0.0,-80.0
0.00395,-70.0
0.05395,-80.0
0.25395,-70.0
0.30395,-80.0
0.35395,-75.0
0.45395,-80.0
0.50395,-70.0
0.55395,-80.0
0.60395,-70.0
0.7039500000000001,-80.0
0.75395,-70.0
0.80395,-80.0
0.85395,-65.0
0.954,-80.0
1.004,-70.0
1.05395,-80.0
1.10395,-60.0
1.20395,-80.0
1.254,-70.0
1.3039500000000002,-80.0
1.35395,-55.0
1.45395,-80.0
1.504,-70.0
1.5539500000000002,-80.0
1.60395,-50.0
1.70395,-80.0
1.754,-70.0
1.804,-80.0
1.85395,-45.0
1.95395,-80.0
2.00395,-70.0
2.05395,-80.0
2.10395,-40.0
2.2039500000000003,-80.0
2.25395,-70.0
2.30395,-80.0
2.35395,-35.0
2.4539500000000003,-80.0
2.50395,-70.0
2.55395,-80.0
2.60395,-30.0
2.7039500000000003,-80.0
2.75395,-70.0
2.80395,-80.0
2.85395,-25.0
2.9539500000000003,-80.0
3.00395,-70.0
3.05395,-80.0
3.10395,-20.0
3.2039500000000003,-80.0
3.25395,-70.0
3.30395,-80.0
3.35395,-15.0
3.4539500000000003,-80.0
3.50395,-70.0
3.5539500000000004,-80.0
3.60395,-10.0
3.704,-80.0
3.75395,-70.0
3.804,-80.0
3.85395,-5.0
3.954,-80.0
4.0039500000000015,-70.0
4.05395,-80.0
4.10395,0.0
4.20395,-80.0
4.2539500000000015,-70.0
4.30395,-80.0
4.35395,5.0
4.45395,-80.0
4.5039500000000015,-70.0
4.55395,-80.0
4.60395,10.0
4.70395,-80.0
4.7539500000000015,-70.0
4.80395,-80.0
4.85395,15.0
4.95395,-80.0
4.99995,-80.0
